stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
R,podlse,pod,closed-form,4,200,200,0.001,25,all,0,800,0.7714827297712995,0.8278687157688238,0.5497399103012426,0.42413912083847666,0.45421540247877856,0.6167809301399843,3.7240538597106934,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,200,200,0.01,25,all,0,800,0.7760562358389652,0.8299211922485952,0.5550852135954315,0.42261145397447925,0.4449756667675453,0.6167809301399843,3.7090487480163574,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,200,200,0.1,25,all,0,800,0.7830231457819576,0.8326626150382404,0.5622247527875629,0.4192020554409835,0.4240055587588546,0.6167809301399843,3.657007932662964,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,branched,pod,linear,4,,-1,0.0001,25,all,0,1204,0.7844720131772557,0.836775602892315,0.572939860901239,0.4141961680855543,0.43400087468169996,0.6167775049518939,34.13773274421692,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,branched,pod,mlp,4,,-1,0.0001,25,all,0,55556,0.7701590681246742,0.8439142371320335,0.5915309675817926,0.3985766325880541,0.42934210241350906,0.6167775049518939,30.003565788269043,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,branched,pod,gru,4,,-1,0.0001,25,all,0,15236,0.7918955423532559,0.8481510310264637,0.6025648270890661,0.39424268484147823,0.3931758628617915,0.6167775049518939,261.24427676200867,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,12,12,1e-06,25,all,0,72,0.8344029553532679,0.866669877630135,0.7030580908666416,0.37556217781125634,0.3863334073808502,0.5492297786913503,5.504799127578735,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,12,12,0.0001,25,all,0,72,0.8344029663480109,0.8666673057960558,0.703052394835284,0.3755633516250027,0.38625574374819766,0.5492297786913503,3.6212823390960693,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,12,12,0.001,25,all,0,72,0.8344040475078635,0.8666449424550302,0.7030028650880991,0.37557351552835183,0.3855525113666065,0.5492297786913503,3.5681588649749756,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,12,12,0.01,25,all,0,72,0.8345051591832869,0.8665150829476446,0.7027152556220969,0.3756273434731001,0.3787859954416688,0.5492297786913503,3.582083225250244,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,12,12,0.1,25,all,0,72,0.8402902354848495,0.8702792437995239,0.7110520213649387,0.373121706275443,0.3295738253774835,0.5492297786913503,3.615560531616211,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,25,25,1e-06,25,all,0,150,0.7955561284195526,0.8500118364434175,0.666164293663756,0.40014263025685803,0.4353693065506713,0.5492297786913503,3.459587335586548,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,25,25,0.0001,25,all,0,150,0.795556154613103,0.8499905631758136,0.6661171781828885,0.40015681388029073,0.43527099866026725,0.5492297786913503,3.223712205886841,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,25,25,0.001,25,all,0,150,0.7955587069702832,0.8498013782534001,0.6656981763276802,0.4002830603571599,0.4343842924885934,0.5492297786913503,3.07751727104187,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,25,25,0.01,25,all,0,150,0.7957784454379315,0.8482716733878781,0.6623102257003382,0.4013118406772809,0.42613973075777994,0.5492297786913503,3.0775396823883057,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,25,25,0.1,25,all,0,150,0.804130548879167,0.8470937398923822,0.6597013691718785,0.4021623541978463,0.3742777483300227,0.5492297786913503,3.108140230178833,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,50,50,1e-06,25,all,0,300,0.7832002169960197,0.8398315408067791,0.6436172391527468,0.412212358169526,0.44283366029025323,0.5492297786913503,3.103900194168091,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,50,50,0.0001,25,all,0,300,0.7832002469766263,0.8398181985461268,0.6435876890601987,0.41222084778655854,0.44275173376724036,0.5492297786913503,3.0807037353515625,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,50,50,0.001,25,all,0,300,0.7832031495838674,0.8397004366955356,0.6433268731704279,0.4122954455637635,0.4420152009112711,0.5492297786913503,3.0616965293884277,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,6,50,50,0.01,25,all,0,300,0.7834395628032993,0.838809870735695,0.641354470800313,0.4128318541125931,0.43534945539692266,0.5492297786913503,3.0795738697052,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
